id,city,zipcode,county,state
1,Adams,37010,Robertson,TN
2,Adamsville,38310,Mcnairy,TN
3,Afton,37616,Greene,TN
4,Alamo,38001,Crockett,TN
5,Alcoa,37701,Blount,TN
6,Alexandria,37012,Dekalb,TN
7,Allardt,38504,Fentress,TN
8,Allons,38541,Overton,TN
9,Allred,38542,Overton,TN
10,Alpine,38543,Overton,TN
11,Altamont,37301,Grundy,TN
12,Andersonville,37705,Anderson,TN
13,Antioch,37011,Davidson,TN
14,Antioch,37013,Davidson,TN
15,Apison,37302,Hamilton,TN
16,Ardmore,38449,Giles,TN
17,Arlington,38002,Shelby,TN
18,Arnold A F B,37389,Coffee,TN
19,Arrington,37014,Williamson,TN
20,Arthur,37707,Claiborne,TN
21,Ashland City,37015,Cheatham,TN
22,Athens,37303,Mcminn,TN
23,Athens,37371,Mcminn,TN
24,Atoka,38004,Tipton,TN
25,Atwood,38220,Carroll,TN
26,Auburntown,37016,Cannon,TN
27,Bakewell,37304,Hamilton,TN
28,Bath Springs,38311,Decatur,TN
29,Baxter,38544,Putnam,TN
30,Bean Station,37708,Grainger,TN
31,Beech Bluff,38313,Madison,TN
32,Beechgrove,37018,Coffee,TN
33,Beersheba Springs,37305,Grundy,TN
34,Belfast,37019,Marshall,TN
35,Bell Buckle,37020,Bedford,TN
36,Bells,38006,Crockett,TN
37,Belvidere,37306,Franklin,TN
38,Benton,37307,Polk,TN
39,Bethel Springs,38315,Mcnairy,TN
40,Bethpage,37022,Sumner,TN
41,Big Rock,37023,Stewart,TN
42,Big Sandy,38221,Benton,TN
43,Birchwood,37308,Hamilton,TN
44,Blaine,37709,Grainger,TN
45,Bloomington Springs,38545,Putnam,TN
46,Blountville,37617,Sullivan,TN
47,Bluff City,37618,Sullivan,TN
48,Bogota,38007,Dyer,TN
49,Bolivar,38008,Hardeman,TN
50,Bon Aqua,37025,Hickman,TN
51,Braden,38010,Fayette,TN
52,Bradford,38316,Gibson,TN
53,Bradyville,37026,Cannon,TN
54,Brentwood,37024,Williamson,TN
55,Brentwood,37027,Williamson,TN
56,Briceville,37710,Anderson,TN
57,Brighton,38011,Tipton,TN
58,Bristol,37620,Sullivan,TN
59,Bristol,37621,Sullivan,TN
60,Bristol,37625,Sullivan,TN
61,Brownsville,38012,Haywood,TN
62,Bruceton,38317,Carroll,TN
63,Brunswick,38014,Shelby,TN
64,Brush Creek,38547,Smith,TN
65,Buchanan,38222,Henry,TN
66,Buena Vista,38318,Carroll,TN
67,Buffalo Valley,38548,Putnam,TN
68,Bulls Gap,37711,Hawkins,TN
69,Bumpus Mills,37028,Stewart,TN
70,Burlison,38015,Tipton,TN
71,Burns,37029,Dickson,TN
72,Butler,37640,Johnson,TN
73,Bybee,37713,Cocke,TN
74,Byrdstown,38549,Pickett,TN
75,Calhoun,37309,Mcminn,TN
76,Camden,38320,Benton,TN
77,Campaign,38550,Warren,TN
78,Carthage,37030,Smith,TN
79,Caryville,37714,Campbell,TN
80,Castalian Springs,37031,Sumner,TN
81,Cedar Grove,38321,Carroll,TN
82,Cedar Hill,37032,Robertson,TN
83,Celina,38551,Clay,TN
84,Centerville,37033,Hickman,TN
85,Chapel Hill,37034,Marshall,TN
86,Chapmansboro,37035,Cheatham,TN
87,Charleston,37310,Bradley,TN
88,Charlotte,37036,Dickson,TN
89,Chattanooga,37401,Hamilton,TN
90,Chattanooga,37402,Hamilton,TN
91,Chattanooga,37403,Hamilton,TN
92,Chattanooga,37404,Hamilton,TN
93,Chattanooga,37405,Hamilton,TN
94,Chattanooga,37406,Hamilton,TN
95,Chattanooga,37407,Hamilton,TN
96,Chattanooga,37408,Hamilton,TN
97,Chattanooga,37409,Hamilton,TN
98,Chattanooga,37410,Hamilton,TN
99,Chattanooga,37411,Hamilton,TN
100,Chattanooga,37412,Hamilton,TN
101,Chattanooga,37414,Hamilton,TN
102,Chattanooga,37415,Hamilton,TN
103,Chattanooga,37416,Hamilton,TN
104,Chattanooga,37419,Hamilton,TN
105,Chattanooga,37421,Hamilton,TN
106,Chattanooga,37422,Hamilton,TN
107,Chattanooga,37424,Hamilton,TN
108,Chattanooga,37450,Hamilton,TN
109,Chestnut Mound,38552,Smith,TN
110,Chewalla,38393,Mcnairy,TN
111,Christiana,37037,Rutherford,TN
112,Chuckey,37641,Greene,TN
113,Church Hill,37642,Hawkins,TN
114,Clairfield,37715,Claiborne,TN
115,Clarkrange,38553,Fentress,TN
116,Clarksburg,38324,Carroll,TN
117,Clarksville,37040,Montgomery,TN
118,Clarksville,37041,Montgomery,TN
119,Clarksville,37042,Montgomery,TN
120,Clarksville,37043,Montgomery,TN
121,Clarksville,37044,Montgomery,TN
122,Cleveland,37311,Bradley,TN
123,Cleveland,37312,Bradley,TN
124,Cleveland,37320,Bradley,TN
125,Cleveland,37323,Bradley,TN
126,Cleveland,37364,Bradley,TN
127,Clifton,38425,Wayne,TN
128,Clinton,37716,Anderson,TN
129,Clinton,37717,Anderson,TN
130,Coalfield,37719,Morgan,TN
131,Coalmont,37313,Grundy,TN
132,Cokercreek,37314,Monroe,TN
133,College Grove,37046,Williamson,TN
134,Collegedale,37315,Hamilton,TN
135,Collierville,38017,Shelby,TN
136,Collierville,38027,Shelby,TN
137,Collinwood,38450,Wayne,TN
138,Columbia,38401,Maury,TN
139,Columbia,38402,Maury,TN
140,Como,38223,Henry,TN
141,Conasauga,37316,Polk,TN
142,Cookeville,38501,Putnam,TN
143,Cookeville,38502,Putnam,TN
144,Cookeville,38503,Putnam,TN
145,Cookeville,38505,Putnam,TN
146,Cookeville,38506,Putnam,TN
147,Copperhill,37317,Polk,TN
148,Cordova,38016,Shelby,TN
149,Cordova,38018,Shelby,TN
150,Cordova,38088,Shelby,TN
151,Cornersville,37047,Marshall,TN
152,Corryton,37721,Knox,TN
153,Cosby,37722,Cocke,TN
154,Cottage Grove,38224,Henry,TN
155,Cottontown,37048,Sumner,TN
156,Counce,38326,Hardin,TN
157,Covington,38019,Tipton,TN
158,Cowan,37318,Franklin,TN
159,Crab Orchard,37723,Cumberland,TN
160,Crawford,38554,Overton,TN
161,Crockett Mills,38021,Crockett,TN
162,Cross Plains,37049,Robertson,TN
163,Crossville,38555,Cumberland,TN
164,Crossville,38557,Cumberland,TN
165,Crossville,38558,Cumberland,TN
166,Crossville,38571,Cumberland,TN
167,Crossville,38572,Cumberland,TN
168,Crump,38327,Hardin,TN
169,Culleoka,38451,Maury,TN
170,Cumberland City,37050,Stewart,TN
171,Cumberland Furnace,37051,Dickson,TN
172,Cumberland Gap,37724,Claiborne,TN
173,Cunningham,37052,Montgomery,TN
174,Cypress Inn,38452,Wayne,TN
175,Dandridge,37725,Jefferson,TN
176,Darden,38328,Henderson,TN
177,Dayton,37321,Rhea,TN
178,Decatur,37322,Meigs,TN
179,Decaturville,38329,Decatur,TN
180,Decherd,37324,Franklin,TN
181,Deer Lodge,37726,Morgan,TN
182,Del Rio,37727,Cocke,TN
183,Delano,37325,Polk,TN
184,Dellrose,38453,Lincoln,TN
185,Denmark,38391,Madison,TN
186,Dickson,37055,Dickson,TN
187,Dickson,37056,Dickson,TN
188,Dixon Springs,37057,Smith,TN
189,Dover,37058,Stewart,TN
190,Dowelltown,37059,Dekalb,TN
191,Doyle,38559,White,TN
192,Dresden,38225,Weakley,TN
193,Drummonds,38023,Tipton,TN
194,Duck River,38454,Hickman,TN
195,Ducktown,37326,Polk,TN
196,Duff,37729,Campbell,TN
197,Dukedom,38226,Weakley,TN
