id,city,zipcode,county,state
1,Adams,1,74,43
2,Adamsville,645,60,43
3,Afton,294,30,43
4,Alamo,482,17,43
5,Alcoa,330,5,43
6,Alexandria,3,21,43
7,Allardt,750,25,43
8,Allons,753,67,43
9,Allred,754,67,43
10,Alpine,755,67,43
11,Altamont,179,31,43
12,Andersonville,331,1,43
13,Antioch,2,19,43
14,Antioch,4,19,43
15,Apison,180,33,43
16,Ardmore,715,28,43
17,Arlington,483,79,43
18,Arnold A F B,260,16,43
19,Arrington,5,94,43
20,Arthur,332,13,43
21,Ashland City,6,11,43
22,Athens,181,59,43
23,Athens,244,59,43
24,Atoka,484,84,43
25,Atwood,609,9,43
26,Auburntown,7,8,43
27,Bakewell,182,33,43
28,Bath Springs,646,20,43
29,Baxter,756,71,43
30,Bean Station,333,29,43
31,Beech Bluff,647,55,43
32,Beechgrove,8,16,43
33,Beersheba Springs,183,31,43
34,Belfast,9,57,43
35,Bell Buckle,10,2,43
36,Bells,485,17,43
37,Belvidere,184,26,43
38,Benton,185,70,43
39,Bethel Springs,649,60,43
40,Bethpage,11,83,43
41,Big Rock,12,81,43
42,Big Sandy,610,3,43
43,Birchwood,186,33,43
44,Blaine,334,29,43
45,Bloomington Springs,757,71,43
46,Blountville,295,82,43
47,Bluff City,296,82,43
48,Bogota,486,23,43
49,Bolivar,487,35,43
50,Bon Aqua,14,41,43
51,Braden,488,24,43
52,Bradford,650,27,43
53,Bradyville,15,8,43
54,Brentwood,13,94,43
55,Brentwood,16,94,43
56,Briceville,335,1,43
57,Brighton,489,84,43
58,Bristol,297,82,43
59,Bristol,298,82,43
60,Bristol,299,82,43
61,Brownsville,490,38,43
62,Bruceton,651,9,43
63,Brunswick,491,79,43
64,Brush Creek,758,80,43
65,Buchanan,611,40,43
66,Buena Vista,652,9,43
67,Buffalo Valley,759,71,43
68,Bulls Gap,336,37,43
69,Bumpus Mills,17,81,43
70,Burlison,492,84,43
71,Burns,18,22,43
72,Butler,300,46,43
73,Bybee,337,15,43
74,Byrdstown,760,69,43
75,Calhoun,187,59,43
76,Camden,653,3,43
77,Campaign,761,89,43
78,Carthage,19,80,43
79,Caryville,338,7,43
80,Castalian Springs,20,83,43
81,Cedar Grove,654,9,43
82,Cedar Hill,21,74,43
83,Celina,762,14,43
84,Centerville,22,41,43
85,Chapel Hill,23,57,43
